"events","status","censor"
93,1,TRUE
82,1,TRUE
79,1,TRUE
79,1,TRUE
77,1,TRUE
85,1,TRUE
79,1,TRUE
73,1,TRUE
74,1,TRUE
73,1,TRUE
91,1,TRUE
91,1,TRUE
79,1,TRUE
92,1,TRUE
87,1,TRUE
72,1,TRUE
99,1,TRUE
68,1,TRUE
79,1,TRUE
86,1,TRUE
88,2,FALSE
81,1,TRUE
84,1,TRUE
83,1,TRUE
83,1,TRUE
82,1,TRUE
90,2,FALSE
90,1,TRUE
78,1,TRUE
80,1,TRUE
67,1,TRUE
86,1,TRUE
90,1,TRUE
73,1,TRUE
89,1,TRUE
96,1,TRUE
86,1,TRUE
89,1,TRUE
72,1,TRUE
79,1,TRUE
91,1,TRUE
89,2,FALSE
81,1,TRUE
75,1,TRUE
94,1,TRUE
67,1,TRUE
74,1,TRUE
78,1,TRUE
78,1,TRUE
80,1,TRUE
67,1,TRUE
87,2,FALSE
70,1,TRUE
75,1,TRUE
78,1,TRUE
78,1,TRUE
78,1,TRUE
83,2,FALSE
91,1,TRUE
88,2,FALSE
91,1,TRUE
90,1,TRUE
77,1,TRUE
79,1,TRUE
89,1,TRUE
74,1,TRUE
87,2,FALSE
70,1,TRUE
84,1,TRUE
72,1,TRUE
72,1,TRUE
72,1,TRUE
68,1,TRUE
91,2,FALSE
90,1,TRUE
82,1,TRUE
85,1,TRUE
78,1,TRUE
83,1,TRUE
83,1,TRUE
84,2,FALSE
89,1,TRUE
78,1,TRUE
92,1,TRUE
86,2,FALSE
73,1,TRUE
101,2,FALSE
70,1,TRUE
79,1,TRUE
84,1,TRUE
83,2,FALSE
82,1,TRUE
82,1,TRUE
73,1,TRUE
88,2,FALSE
87,1,TRUE
80,1,TRUE
66,1,TRUE
75,1,TRUE
68,1,TRUE
81,1,TRUE
82,1,TRUE
76,1,TRUE
73,1,TRUE
77,1,TRUE
74,1,TRUE
68,1,TRUE
73,1,TRUE
68,1,TRUE
84,1,TRUE
86,1,TRUE
75,1,TRUE
93,1,TRUE
94,1,TRUE
82,1,TRUE
92,1,TRUE
89,1,TRUE
71,1,TRUE
83,1,TRUE
83,2,FALSE
92,1,TRUE
76,1,TRUE
88,1,TRUE
71,1,TRUE
73,1,TRUE
70,1,TRUE
79,1,TRUE
74,1,TRUE
75,1,TRUE
88,1,TRUE
87,1,TRUE
89,2,FALSE
81,1,TRUE
87,1,TRUE
80,2,FALSE
86,1,TRUE
67,1,TRUE
87,1,TRUE
94,1,TRUE
84,1,TRUE
83,1,TRUE
85,1,TRUE
89,2,FALSE
82,1,TRUE
77,1,TRUE
88,1,TRUE
86,1,TRUE
69,1,TRUE
82,2,FALSE
73,1,TRUE
74,1,TRUE
78,1,TRUE
90,1,TRUE
69,1,TRUE
72,1,TRUE
72,1,TRUE
94,2,FALSE
87,1,TRUE
97,1,TRUE
72,1,TRUE
79,1,TRUE
67,1,TRUE
72,1,TRUE
87,1,TRUE
85,1,TRUE
79,1,TRUE
74,1,TRUE
79,1,TRUE
85,1,TRUE
66,1,TRUE
81,1,TRUE
78,1,TRUE
82,1,TRUE
87,1,TRUE
86,1,TRUE
79,1,TRUE
71,1,TRUE
83,1,TRUE
94,1,TRUE
86,1,TRUE
69,1,TRUE
86,1,TRUE
86,1,TRUE
89,2,FALSE
76,1,TRUE
84,1,TRUE
86,1,TRUE
89,1,TRUE
71,1,TRUE
66,1,TRUE
73,1,TRUE
94,1,TRUE
73,1,TRUE
81,1,TRUE
83,1,TRUE
75,1,TRUE
89,1,TRUE
75,1,TRUE
90,1,TRUE
82,2,FALSE
87,1,TRUE
73,1,TRUE
73,1,TRUE
77,1,TRUE
84,1,TRUE
76,1,TRUE
89,1,TRUE
68,1,TRUE
84,1,TRUE
70,1,TRUE
84,1,TRUE
82,2,FALSE
83,1,TRUE
92,1,TRUE
79,2,FALSE
89,1,TRUE
91,2,FALSE
88,1,TRUE
69,1,TRUE
86,1,TRUE
81,1,TRUE
76,1,TRUE
82,1,TRUE
83,1,TRUE
72,1,TRUE
85,1,TRUE
86,1,TRUE
79,1,TRUE
81,1,TRUE
79,1,TRUE
74,1,TRUE
92,1,TRUE
83,1,TRUE
91,1,TRUE
87,1,TRUE
93,1,TRUE
85,1,TRUE
81,1,TRUE
94,1,TRUE
87,1,TRUE
68,1,TRUE
84,2,FALSE
77,1,TRUE
98,1,TRUE
87,1,TRUE
89,1,TRUE
93,1,TRUE
85,2,FALSE
91,1,TRUE
82,1,TRUE
90,1,TRUE
86,2,FALSE
95,1,TRUE
70,1,TRUE
90,1,TRUE
82,1,TRUE
66,1,TRUE
81,1,TRUE
91,1,TRUE
92,1,TRUE
80,2,FALSE
86,1,TRUE
89,2,FALSE
75,1,TRUE
89,1,TRUE
79,1,TRUE
82,1,TRUE
85,1,TRUE
85,1,TRUE
68,1,TRUE
93,1,TRUE
80,1,TRUE
74,1,TRUE
83,1,TRUE
82,1,TRUE
76,1,TRUE
86,1,TRUE
83,1,TRUE
72,1,TRUE
82,1,TRUE
94,1,TRUE
78,1,TRUE
91,1,TRUE
91,1,TRUE
80,1,TRUE
92,1,TRUE
89,1,TRUE
71,1,TRUE
93,1,TRUE
81,1,TRUE
84,1,TRUE
89,1,TRUE
86,1,TRUE
89,1,TRUE
95,1,TRUE
97,1,TRUE
92,1,TRUE
74,1,TRUE
75,1,TRUE
68,1,TRUE
91,1,TRUE
72,1,TRUE
80,1,TRUE
67,1,TRUE
70,1,TRUE
69,1,TRUE
79,1,TRUE
93,1,TRUE
87,1,TRUE
91,1,TRUE
87,1,TRUE
75,1,TRUE
91,1,TRUE
82,1,TRUE
76,1,TRUE
76,1,TRUE
70,1,TRUE
82,1,TRUE
84,1,TRUE
83,1,TRUE
77,1,TRUE
85,1,TRUE
83,1,TRUE
74,1,TRUE
66,1,TRUE
95,1,TRUE
88,1,TRUE
78,1,TRUE
69,1,TRUE
84,1,TRUE
83,1,TRUE
76,1,TRUE
74,1,TRUE
85,1,TRUE
88,2,FALSE
87,1,TRUE
80,2,FALSE
69,1,TRUE
91,1,TRUE
82,1,TRUE
85,2,FALSE
78,1,TRUE
84,1,TRUE
81,1,TRUE
91,1,TRUE
77,1,TRUE
82,1,TRUE
91,1,TRUE
80,1,TRUE
85,1,TRUE
71,1,TRUE
92,1,TRUE
97,1,TRUE
96,2,FALSE
98,1,TRUE
87,1,TRUE
90,1,TRUE
86,1,TRUE
80,1,TRUE
94,1,TRUE
81,1,TRUE
80,1,TRUE
82,1,TRUE
78,1,TRUE
98,1,TRUE
72,1,TRUE
87,1,TRUE
88,2,FALSE
99,1,TRUE
80,1,TRUE
73,1,TRUE
85,1,TRUE
72,1,TRUE
70,1,TRUE
77,1,TRUE
73,1,TRUE
86,1,TRUE
88,1,TRUE
83,1,TRUE
75,1,TRUE
68,1,TRUE
87,1,TRUE
75,1,TRUE
75,1,TRUE
97,1,TRUE
81,1,TRUE
73,1,TRUE
85,1,TRUE
84,1,TRUE
67,1,TRUE
83,1,TRUE
78,1,TRUE
86,2,FALSE
79,1,TRUE
87,1,TRUE
73,1,TRUE
68,1,TRUE
89,1,TRUE
89,1,TRUE
76,1,TRUE
84,2,FALSE
75,1,TRUE
68,1,TRUE
90,1,TRUE
92,1,TRUE
83,1,TRUE
68,1,TRUE
78,1,TRUE
88,2,FALSE
77,1,TRUE
70,1,TRUE
89,1,TRUE
72,1,TRUE
80,1,TRUE
85,1,TRUE
85,1,TRUE
82,1,TRUE
89,1,TRUE
81,1,TRUE
74,1,TRUE
72,1,TRUE
74,1,TRUE
74,1,TRUE
103,1,TRUE
79,1,TRUE
87,1,TRUE
74,1,TRUE
74,1,TRUE
69,1,TRUE
81,1,TRUE
77,1,TRUE
91,1,TRUE
85,1,TRUE
85,1,TRUE
88,1,TRUE
67,1,TRUE
85,1,TRUE
87,1,TRUE
79,1,TRUE
69,1,TRUE
77,1,TRUE
73,1,TRUE
89,1,TRUE
76,1,TRUE
94,1,TRUE
66,1,TRUE
80,1,TRUE
71,1,TRUE
77,1,TRUE
81,1,TRUE
82,1,TRUE
76,1,TRUE
86,1,TRUE
91,1,TRUE
91,1,TRUE
85,2,FALSE
69,1,TRUE
86,1,TRUE
80,1,TRUE
84,2,FALSE
89,1,TRUE
67,1,TRUE
89,2,FALSE
85,1,TRUE
79,1,TRUE
70,1,TRUE
88,1,TRUE
91,1,TRUE
100,1,TRUE
80,2,FALSE
67,1,TRUE
82,1,TRUE
83,1,TRUE
75,1,TRUE
85,1,TRUE
87,1,TRUE
82,1,TRUE
94,1,TRUE
85,1,TRUE
79,1,TRUE
74,1,TRUE
74,1,TRUE
86,2,FALSE
83,1,TRUE
96,1,TRUE
85,1,TRUE
87,2,FALSE
86,1,TRUE
75,1,TRUE
83,1,TRUE
91,2,FALSE
86,2,FALSE
93,1,TRUE
84,1,TRUE
83,1,TRUE
80,1,TRUE
89,1,TRUE
79,1,TRUE
82,1,TRUE
67,1,TRUE
91,2,FALSE
78,1,TRUE
66,1,TRUE
66,1,TRUE
78,1,TRUE
74,1,TRUE
67,1,TRUE
81,1,TRUE
83,1,TRUE
85,1,TRUE
77,1,TRUE
77,1,TRUE
92,1,TRUE
78,1,TRUE
80,1,TRUE
85,1,TRUE
76,1,TRUE
91,1,TRUE
84,1,TRUE
90,1,TRUE
86,1,TRUE
89,1,TRUE
75,1,TRUE
82,1,TRUE
79,1,TRUE
92,1,TRUE
67,1,TRUE
70,1,TRUE
89,1,TRUE
82,1,TRUE
90,1,TRUE
97,1,TRUE
73,1,TRUE
80,1,TRUE
75,1,TRUE
82,1,TRUE
86,1,TRUE
94,1,TRUE
90,1,TRUE
74,1,TRUE
79,1,TRUE
80,1,TRUE
82,1,TRUE
85,1,TRUE
71,1,TRUE
84,1,TRUE
86,1,TRUE
73,1,TRUE
82,1,TRUE
91,2,FALSE
68,1,TRUE
91,1,TRUE
85,1,TRUE
84,1,TRUE
69,1,TRUE
75,1,TRUE
90,1,TRUE
84,1,TRUE
87,1,TRUE
77,1,TRUE
89,1,TRUE
77,1,TRUE
67,1,TRUE
75,1,TRUE
73,1,TRUE
69,1,TRUE
84,1,TRUE
82,1,TRUE
73,1,TRUE
82,1,TRUE
97,1,TRUE
66,1,TRUE
94,1,TRUE
71,1,TRUE
83,1,TRUE
81,1,TRUE
75,1,TRUE
86,1,TRUE
91,1,TRUE
88,1,TRUE
76,1,TRUE
90,1,TRUE
68,1,TRUE
83,1,TRUE
78,1,TRUE
82,1,TRUE
71,1,TRUE
70,1,TRUE
70,1,TRUE
80,1,TRUE
96,1,TRUE
76,1,TRUE
95,1,TRUE
66,1,TRUE
71,1,TRUE
82,1,TRUE
98,1,TRUE
87,1,TRUE
85,1,TRUE
87,1,TRUE
90,1,TRUE
85,1,TRUE
70,1,TRUE
72,1,TRUE
82,1,TRUE
80,1,TRUE
78,1,TRUE
90,1,TRUE
80,1,TRUE
69,1,TRUE
85,1,TRUE
81,1,TRUE
91,1,TRUE
73,1,TRUE
75,1,TRUE
80,1,TRUE
83,1,TRUE
70,1,TRUE
86,1,TRUE
88,2,FALSE
97,1,TRUE
79,1,TRUE
87,1,TRUE
77,1,TRUE
81,1,TRUE
84,1,TRUE
83,1,TRUE
84,1,TRUE
69,1,TRUE
90,2,FALSE
84,1,TRUE
75,1,TRUE
87,1,TRUE
81,1,TRUE
94,1,TRUE
90,2,FALSE
83,2,FALSE
80,2,FALSE
70,1,TRUE
78,1,TRUE
94,1,TRUE
88,1,TRUE
90,1,TRUE
88,2,FALSE
78,1,TRUE
85,1,TRUE
84,1,TRUE
76,1,TRUE
94,1,TRUE
98,1,TRUE
72,1,TRUE
82,1,TRUE
84,1,TRUE
86,1,TRUE
87,1,TRUE
85,1,TRUE
85,1,TRUE
97,1,TRUE
75,1,TRUE
96,1,TRUE
93,1,TRUE
93,1,TRUE
88,1,TRUE
84,1,TRUE
72,1,TRUE
92,1,TRUE
76,1,TRUE
81,1,TRUE
68,1,TRUE
79,1,TRUE
72,1,TRUE
75,1,TRUE
85,1,TRUE
81,2,FALSE
89,1,TRUE
77,1,TRUE
73,1,TRUE
80,1,TRUE
91,1,TRUE
94,1,TRUE
85,1,TRUE
67,1,TRUE
70,1,TRUE
70,1,TRUE
85,1,TRUE
80,1,TRUE
84,1,TRUE
81,1,TRUE
72,1,TRUE
75,1,TRUE
81,1,TRUE
89,1,TRUE
89,1,TRUE
85,1,TRUE
96,1,TRUE
73,1,TRUE
77,1,TRUE
93,1,TRUE
85,1,TRUE
80,1,TRUE
75,1,TRUE
87,1,TRUE
81,1,TRUE
66,1,TRUE
77,1,TRUE
81,1,TRUE
68,1,TRUE
73,1,TRUE
86,2,FALSE
89,1,TRUE
73,1,TRUE
72,1,TRUE
84,2,FALSE
99,1,TRUE
88,2,FALSE
74,1,TRUE
84,1,TRUE
98,1,TRUE
86,2,FALSE
83,1,TRUE
84,2,FALSE
75,1,TRUE
85,2,FALSE
75,1,TRUE
92,1,TRUE
84,1,TRUE
76,1,TRUE
76,1,TRUE
84,1,TRUE
69,1,TRUE
74,1,TRUE
81,1,TRUE
89,1,TRUE
91,1,TRUE
71,1,TRUE
92,1,TRUE
77,1,TRUE
69,1,TRUE
80,1,TRUE
75,1,TRUE
94,2,FALSE
84,1,TRUE
74,1,TRUE
88,2,FALSE
90,1,TRUE
94,1,TRUE
93,1,TRUE
80,1,TRUE
95,1,TRUE
95,1,TRUE
81,1,TRUE
90,1,TRUE
77,1,TRUE
76,1,TRUE
89,1,TRUE
82,1,TRUE
100,1,TRUE
75,1,TRUE
75,1,TRUE
83,1,TRUE
79,1,TRUE
90,1,TRUE
80,1,TRUE
91,1,TRUE
79,1,TRUE
89,1,TRUE
82,1,TRUE
84,2,FALSE
84,2,FALSE
77,1,TRUE
82,1,TRUE
85,1,TRUE
96,1,TRUE
86,2,FALSE
82,2,FALSE
73,1,TRUE
71,1,TRUE
86,1,TRUE
79,1,TRUE
87,1,TRUE
68,1,TRUE
90,1,TRUE
79,1,TRUE
94,1,TRUE
90,1,TRUE
83,1,TRUE
91,1,TRUE
79,1,TRUE
88,1,TRUE
96,1,TRUE
84,1,TRUE
86,1,TRUE
83,1,TRUE
88,1,TRUE
79,1,TRUE
83,1,TRUE
80,1,TRUE
79,1,TRUE
95,1,TRUE
81,1,TRUE
74,1,TRUE
83,2,FALSE
89,1,TRUE
81,1,TRUE
83,1,TRUE
87,2,FALSE
81,1,TRUE
91,1,TRUE
81,1,TRUE
79,1,TRUE
84,1,TRUE
89,1,TRUE
88,1,TRUE
69,1,TRUE
83,1,TRUE
75,1,TRUE
66,1,TRUE
90,1,TRUE
73,1,TRUE
76,1,TRUE
98,1,TRUE
90,2,FALSE
74,1,TRUE
73,1,TRUE
77,1,TRUE
78,1,TRUE
87,2,FALSE
79,1,TRUE
78,1,TRUE
90,2,FALSE
76,1,TRUE
80,1,TRUE
74,1,TRUE
92,1,TRUE
85,1,TRUE
88,1,TRUE
95,1,TRUE
82,1,TRUE
74,1,TRUE
85,1,TRUE
80,1,TRUE
89,1,TRUE
90,1,TRUE
88,2,FALSE
87,1,TRUE
78,1,TRUE
67,1,TRUE
84,1,TRUE
84,1,TRUE
88,1,TRUE
78,1,TRUE
89,1,TRUE
81,1,TRUE
72,1,TRUE
71,1,TRUE
80,1,TRUE
86,1,TRUE
72,1,TRUE
74,1,TRUE
87,1,TRUE
81,1,TRUE
72,1,TRUE
85,1,TRUE
82,1,TRUE
92,2,FALSE
89,2,FALSE
97,1,TRUE
83,1,TRUE
91,2,FALSE
80,1,TRUE
85,1,TRUE
81,1,TRUE
94,1,TRUE
84,1,TRUE
74,1,TRUE
76,1,TRUE
73,1,TRUE
74,1,TRUE
93,1,TRUE
88,1,TRUE
85,1,TRUE
84,1,TRUE
81,1,TRUE
84,1,TRUE
84,1,TRUE
83,2,FALSE
76,1,TRUE
80,1,TRUE
81,1,TRUE
69,1,TRUE
75,1,TRUE
94,1,TRUE
75,1,TRUE
86,2,FALSE
70,1,TRUE
71,1,TRUE
81,1,TRUE
80,1,TRUE
73,1,TRUE
86,2,FALSE
91,2,FALSE
92,1,TRUE
66,1,TRUE
88,1,TRUE
81,1,TRUE
72,1,TRUE
74,1,TRUE
68,1,TRUE
88,1,TRUE
75,1,TRUE
72,1,TRUE
76,1,TRUE
80,1,TRUE
70,1,TRUE
83,1,TRUE
71,1,TRUE
88,1,TRUE
80,1,TRUE
82,1,TRUE
78,1,TRUE
89,2,FALSE
80,1,TRUE
80,1,TRUE
75,1,TRUE
86,1,TRUE
87,2,FALSE
86,1,TRUE
83,1,TRUE
85,1,TRUE
74,1,TRUE
87,2,FALSE
82,2,FALSE
88,2,FALSE
80,1,TRUE
89,1,TRUE
83,1,TRUE
81,1,TRUE
70,1,TRUE
85,2,FALSE
74,1,TRUE
76,1,TRUE
85,1,TRUE
99,1,TRUE
82,1,TRUE
86,2,FALSE
75,1,TRUE
73,1,TRUE
92,1,TRUE
82,1,TRUE
88,1,TRUE
96,1,TRUE
87,1,TRUE
77,1,TRUE
82,1,TRUE
84,1,TRUE
83,1,TRUE
87,1,TRUE
70,1,TRUE
93,1,TRUE
84,1,TRUE
69,1,TRUE
92,1,TRUE
81,1,TRUE
66,1,TRUE
91,1,TRUE
83,2,FALSE
94,1,TRUE
89,1,TRUE
74,1,TRUE
86,1,TRUE
91,1,TRUE
68,1,TRUE
85,1,TRUE
89,1,TRUE
74,1,TRUE
89,1,TRUE
92,1,TRUE
79,1,TRUE
78,1,TRUE
74,1,TRUE
80,2,FALSE
93,1,TRUE
73,1,TRUE
94,1,TRUE
83,1,TRUE
87,1,TRUE
83,1,TRUE
68,1,TRUE
86,1,TRUE
95,1,TRUE
77,1,TRUE
88,1,TRUE
79,1,TRUE
80,1,TRUE
93,2,FALSE
86,1,TRUE
88,2,FALSE
82,1,TRUE
88,1,TRUE
69,1,TRUE
